noisy,ideal,mitigated,mae_noisy,mae_mitigated
"[0.599609375, 0.10693359375, 0.25341796875, 0.0400390625]","[0.71875, 0.015380859375, 0.265869140625, 0.0]","[0.9181295037269592, 0.03089582361280918, 0.020928919315338135, 0.030045635998249054]",0.0657958984375,0.12247008131816983
"[0.458740234375, 0.277099609375, 0.2177734375, 0.04638671875]","[0.523681640625, 0.261474609375, 0.20947265625, 0.00537109375]","[0.896696150302887, 0.03944855555891991, 0.026035821065306664, 0.037819404155015945]",0.032470703125,0.20273142727091908
"[0.75341796875, 0.094970703125, 0.09375, 0.057861328125]","[0.93212890625, 0.004638671875, 0.057373046875, 0.005859375]","[0.9318775534629822, 0.02628207392990589, 0.016821766272187233, 0.02501855418086052]",0.08935546875,0.02040130365639925
"[0.311767578125, 0.453857421875, 0.154052734375, 0.080322265625]","[0.292724609375, 0.51220703125, 0.1455078125, 0.049560546875]","[0.8679320812225342, 0.051086388528347015, 0.032649796456098557, 0.048331666737794876]",0.0291748046875,0.28760375268757343
"[0.513916015625, 0.269287109375, 0.179931640625, 0.036865234375]","[0.599853515625, 0.2265625, 0.171875, 0.001708984375]","[0.9032089114189148, 0.03707332909107208, 0.024219242855906487, 0.03549851477146149]",0.04296875,0.16857246356084943
"[0.135498046875, 0.760986328125, 0.042236328125, 0.061279296875]","[0.025146484375, 0.956298828125, 0.0048828125, 0.013671875]","[0.8176597952842712, 0.07214955240488052, 0.04359937831759453, 0.06659124046564102]",0.09765625,0.44207462947815657
"[0.71826171875, 0.06396484375, 0.05712890625, 0.16064453125]","[0.869140625, 0.000732421875, 0.000244140625, 0.1298828125]","[0.9295395016670227, 0.02760898880660534, 0.01731315813958645, 0.025538353249430656]",0.075439453125,0.05217223009094596
"[0.10009765625, 0.0537109375, 0.066650390625, 0.779541015625]","[0.04248046875, 0.002685546875, 0.0, 0.954833984375]","[0.8565565943717957, 0.06099386885762215, 0.035150907933712006, 0.04729870706796646]",0.087646484375,0.45376765821129084
"[0.12841796875, 0.70849609375, 0.041748046875, 0.121337890625]","[0.029296875, 0.866455078125, 0.00390625, 0.100341796875]","[0.8198516964912415, 0.07122913002967834, 0.04315542057156563, 0.06576378643512726]",0.0789794921875,0.41490198764950037
"[0.094970703125, 0.7392578125, 0.0419921875, 0.123779296875]","[0.004638671875, 0.89990234375, 0.002685546875, 0.0927734375]","[0.8111948370933533, 0.07469434291124344, 0.045171108096838, 0.06893965601921082]",0.080322265625,0.42452087718993425
"[0.09814453125, 0.46533203125, 0.049560546875, 0.386962890625]","[0.0, 0.53564453125, 0.0, 0.46435546875]","[0.8291942477226257, 0.06937254965305328, 0.04163876175880432, 0.05979442968964577]",0.0738525390625,0.43541650753468275
"[0.180908203125, 0.494873046875, 0.0576171875, 0.2666015625]","[0.117431640625, 0.5537109375, 0.013427734375, 0.3154296875]","[0.8427708148956299, 0.0627373680472374, 0.03825188800692558, 0.056239910423755646]",0.0538330078125,0.3750816686078906
"[0.39599609375, 0.439208984375, 0.1220703125, 0.042724609375]","[0.4072265625, 0.4609375, 0.127685546875, 0.004150390625]","[0.8805064558982849, 0.04617804288864136, 0.029350072145462036, 0.04396544769406319]",0.019287109375,0.2565474705770612
"[0.093017578125, 0.4482421875, 0.083984375, 0.374755859375]","[0.021728515625, 0.52685546875, 0.0224609375, 0.428955078125]","[0.8299233317375183, 0.06864567846059799, 0.04160882532596588, 0.05982213094830513]",0.06640625,0.41367136035114527
"[0.1787109375, 0.5146484375, 0.055908203125, 0.250732421875]","[0.1083984375, 0.595947265625, 0.013916015625, 0.28173828125]","[0.8412418365478516, 0.06326485425233841, 0.03856272995471954, 0.056930553168058395]",0.05615234375,0.3787450632080436
"[0.400390625, 0.36572265625, 0.181396484375, 0.052490234375]","[0.446533203125, 0.36279296875, 0.179931640625, 0.0107421875]","[0.8850886225700378, 0.04413622245192528, 0.02865023724734783, 0.042125001549720764]",0.0230712890625,0.23496909579262137
"[0.72216796875, 0.07470703125, 0.05517578125, 0.14794921875]","[0.853759765625, 0.00830078125, 0.010986328125, 0.126953125]","[0.929561972618103, 0.02757241018116474, 0.017291434109210968, 0.025574274361133575]",0.0657958984375,0.05068944813683629
"[0.57763671875, 0.152099609375, 0.086181640625, 0.18408203125]","[0.692138671875, 0.1044921875, 0.03125, 0.172119140625]","[0.913471519947052, 0.033964190632104874, 0.021426238119602203, 0.03113805688917637]",0.0572509765625,0.11066642263904214
"[0.62841796875, 0.120361328125, 0.0771484375, 0.174072265625]","[0.777587890625, 0.051025390625, 0.024658203125, 0.146728515625]","[0.9196344017982483, 0.03151550516486168, 0.019850386306643486, 0.02899966947734356]",0.0745849609375,0.07102326489984989
"[0.802978515625, 0.070556640625, 0.05029296875, 0.076171875]","[0.996826171875, 0.0, 0.0, 0.003173828125]","[0.9363417625427246, 0.024762937799096107, 0.01557196956127882, 0.023323338478803635]",0.096923828125,0.030242206761613488
"[0.107666015625, 0.587646484375, 0.03515625, 0.26953125]","[0.00048828125, 0.7197265625, 0.0, 0.27978515625]","[0.8233417272567749, 0.07089810073375702, 0.04267481714487076, 0.06308533996343613]",0.0711669921875,0.43276413530111313
